teamshortform	hasachievedobjective	yettowin	unbeatenallcomps	unbeatenleague	champion	leagueid	prevleagueid	previousyeartableposition	highestpossible	teamform	highestprobable	artificialkey	nummatchesplayed	teamid	gapresult	grouping	currenttableposition	objective	actualvsexpectations	unbeatenhome	lastgameresult	unbeatenaway	teamlongform
0	0	1	0	0	0	53	53	10	0	0	4	280	2	448	2	4	20	2	4	0	2	0	0
50	0	0	0	0	0	53	53	13	0	20	3	281	2	449	1	3	9	3	1	0	2	1	50
0	0	1	0	0	0	53	54	2	0	0	4	282	2	450	2	4	18	3	3	0	2	0	0
0	0	1	0	0	0	53	53	14	0	0	5	283	2	452	2	5	17	3	2	0	2	0	0
66	0	0	1	1	0	53	53	8	0	21	2	284	2	453	1	2	6	3	0	1	1	1	66
50	0	0	0	0	0	53	53	12	0	2	3	285	2	457	1	3	12	3	1	1	0	0	50
33	0	1	1	1	0	53	53	3	0	11	3	286	2	461	2	3	13	1	3	1	1	1	33
100	0	0	1	1	0	53	54	3	0	22	1	287	2	462	1	1	2	3	0	1	0	1	100
0	0	1	0	0	0	53	53	7	0	0	4	288	2	479	2	4	19	2	4	0	2	0	0
100	0	0	1	1	0	53	53	15	0	22	1	289	2	480	1	1	3	4	0	1	0	1	100
66	0	0	1	1	0	53	53	9	0	21	3	290	2	481	1	2	6	2	1	1	1	1	66
66	0	0	1	1	0	53	53	4	0	21	3	291	2	573	1	3	8	2	2	1	1	1	66
16	0	1	0	0	0	53	53	6	0	10	5	292	2	1853	2	5	16	2	3	1	2	0	16
50	0	0	0	0	0	53	53	11	0	2	3	293	2	1860	1	3	10	3	1	1	0	0	50
16	0	1	0	0	0	53	53	17	0	1	5	294	2	110832	1	5	15	4	1	1	1	0	16
0	0	1	0	0	0	54	53	20	6	0	5	295	2	456	2	5	22	6	4	0	2	0	0
0	0	1	0	0	0	54	53	19	6	0	5	296	2	459	2	5	21	6	4	0	2	0	0
100	0	0	1	1	0	54	54	11	6	22	6	297	2	468	1	6	1	3	0	1	0	1	100
66	0	0	1	1	0	54	54	9	6	21	8	298	2	472	1	8	7	8	1	1	1	1	66
66	0	0	1	1	0	54	54	10	6	21	7	299	2	477	1	7	4	3	0	1	1	1	66
66	0	0	1	1	0	54	53	18	6	21	3	300	2	483	2	3	9	6	4	1	1	1	66
50	0	0	0	0	0	54	54	17	6	2	3	301	2	571	1	3	14	3	1	1	0	0	50
50	0	0	0	0	0	54	54	14	6	20	3	302	2	1742	1	3	11	3	1	1	2	0	50
66	0	0	1	1	0	54	54	18	6	12	7	303	2	1855	1	7	6	5	0	1	0	1	66
100	0	0	1	1	0	54	54	7	6	22	6	304	2	1861	1	6	2	7	0	1	0	1	100
66	0	0	1	1	0	54	54	6	6	12	7	305	2	1867	1	7	5	7	1	1	0	1	66
50	0	0	0	0	0	54	54	21	6	2	3	306	2	2023	1	3	13	5	0	1	0	0	50
33	0	1	1	1	0	54	54	19	6	11	3	307	2	15021	1	3	15	5	0	1	1	1	33
16	0	1	0	0	0	54	54	4	6	10	5	308	2	100831	2	5	16	7	4	1	2	0	16
0	0	1	0	0	0	54	54	5	6	0	5	309	2	100879	2	5	19	7	4	0	2	0	0
66	0	0	1	1	0	54	54	15	6	12	7	310	2	110062	1	7	3	3	0	1	0	1	66
0	0	1	0	0	0	54	54	21	6	0	5	311	2	110069	1	5	20	5	2	0	2	0	0
0	0	1	0	0	0	54	54	8	6	0	5	312	2	110704	2	5	18	3	2	0	2	0	0
50	0	0	0	0	0	54	54	20	6	2	3	313	2	110710	1	3	12	3	1	1	0	0	50
66	0	0	1	1	0	54	54	22	6	21	8	314	2	110831	1	8	8	5	0	1	1	1	66
66	0	0	1	1	0	54	54	13	6	21	3	315	2	110839	1	3	10	3	1	1	1	1	66
16	0	1	0	0	0	54	54	16	6	10	5	316	2	111827	2	5	17	3	2	0	2	1	16
46	0	0	0	0	0	56	56	7	0	2120	3	317	20	319	3	3	11	0	4	0	2	0	33
66	0	0	0	0	0	56	56	4	0	22102	10	318	20	320	1	10	2	10	1	1	0	0	66
40	0	0	0	0	1	56	56	1	0	20200	8	319	20	432	3	8	5	0	3	0	2	0	56
80	0	0	0	0	0	56	56	2	0	22022	8	320	20	433	2	8	4	0	3	0	0	0	63
66	0	0	0	0	0	56	56	3	0	21220	0	321	20	700	1	0	1	0	1	1	2	0	56
40	0	0	0	0	0	56	56	13	0	12101	3	322	20	702	1	3	6	3	1	0	1	0	46
6	0	0	0	0	0	56	56	12	0	1000	5	323	20	705	3	5	16	10	4	0	2	0	23
73	0	0	0	0	0	56	56	11	0	11222	3	324	20	710	1	3	7	3	1	0	0	0	60
86	0	0	0	0	0	56	56	6	0	22122	10	325	20	711	1	10	3	8	0	0	0	0	63
46	0	0	0	0	0	56	56	8	0	1202	3	326	20	1439	1	3	9	3	1	0	0	0	56
46	0	0	0	0	0	56	56	16	0	21020	3	327	20	1596	1	3	10	5	0	0	2	0	40
40	0	0	0	0	0	56	56	9	0	20002	5	328	20	111277	2	5	14	5	2	0	0	0	36
6	0	0	0	0	0	56	56	5	0	100	5	329	20	111594	3	5	15	3	3	0	2	0	10
26	0	0	0	0	0	56	56	15	0	1111	3	330	20	111835	1	3	8	5	0	0	1	0	40
20	0	0	0	0	0	56	56	10	0	200	5	331	20	112072	1	5	13	5	1	0	2	0	26
46	0	0	0	0	0	56	56	14	0	212	3	332	20	112267	1	3	12	5	0	0	0	0	46
33	0	0	0	0	0	60	61	4	6	20	3	333	3	121	1	3	17	4	0	0	2	0	33
44	0	0	0	0	0	60	61	2	6	21	3	334	3	127	1	3	11	4	0	1	1	0	44
66	0	0	0	0	0	60	14	24	6	220	7	335	3	142	1	7	5	8	0	0	2	1	66
77	0	0	0	1	0	60	60	17	6	122	6	336	3	346	1	6	1	4	0	1	0	1	77
77	0	0	0	1	0	60	60	6	6	122	7	337	3	361	1	7	4	3	0	1	0	1	77
44	0	0	0	0	0	60	60	8	6	102	3	338	3	1480	1	3	12	3	1	0	0	1	44
22	0	1	0	0	0	60	14	22	6	110	5	339	3	1790	2	5	20	3	2	1	2	0	22
55	0	0	0	1	0	60	60	3	6	211	8	340	3	1794	2	8	8	6	3	1	1	1	55
44	0	0	0	0	0	60	60	5	6	210	3	341	3	1798	2	3	10	6	4	1	2	0	44
33	0	1	1	1	0	60	14	23	6	111	3	342	3	1800	2	3	14	7	3	1	1	1	33
22	0	1	0	0	0	60	60	15	6	101	5	343	3	1801	2	5	19	8	3	1	1	0	22
44	0	0	0	0	0	60	60	19	6	12	3	344	3	1803	1	3	13	4	0	0	0	1	44
11	0	1	0	0	0	60	60	16	6	10	4	345	3	1920	2	4	22	3	3	0	2	0	11
44	0	0	0	0	0	60	60	9	6	102	8	346	3	1925	1	8	9	8	1	0	0	1	44
77	0	0	1	1	1	60	61	1	6	122	7	347	3	1934	1	7	3	6	2	1	0	1	77
33	0	1	0	1	0	60	60	10	6	111	3	348	3	1935	1	3	16	3	1	1	1	1	33
66	0	0	0	0	0	60	60	7	6	220	7	349	3	1937	1	7	6	7	1	0	2	1	66
16	0	1	0	0	0	60	60	13	6	10	4	350	2	1941	2	4	21	3	3	1	2	0	16
33	0	1	0	1	0	60	60	11	6	111	3	351	3	1943	2	3	15	7	3	1	1	1	33
22	0	1	0	0	0	60	60	14	6	101	5	352	3	1945	1	5	18	4	1	1	1	0	22
0	0	1	0	0	0	60	60	18	6	0	4	353	3	1949	2	4	24	3	3	0	2	0	0
0	0	1	0	0	0	60	60	20	6	0	4	354	2	1958	2	4	23	3	3	0	2	0	0
77	0	0	0	1	0	60	60	12	6	221	6	355	3	15048	1	6	2	3	0	1	1	1	77
66	0	0	0	0	0	60	61	3	6	202	8	356	3	110890	1	8	7	8	1	1	0	0	66
11	0	1	0	0	0	61	61	22	6	10	5	357	3	135	1	5	24	5	2	0	2	0	11
66	0	0	0	0	0	61	60	23	6	22	7	358	3	143	1	7	6	3	0	0	0	1	66
44	0	0	0	0	0	61	61	15	6	210	3	359	3	357	1	3	11	5	0	0	2	1	44
11	0	1	0	0	0	61	61	19	6	10	5	360	3	373	1	5	22	5	1	0	2	0	11
33	0	0	0	0	0	61	61	11	6	200	3	361	3	382	1	3	16	3	1	0	2	1	33
44	0	0	0	0	0	61	61	10	6	201	3	362	3	1797	2	3	10	6	4	1	1	0	44
100	0	0	0	1	0	61	61	8	6	222	6	363	3	1802	1	6	2	7	0	1	0	1	100
66	0	0	0	0	0	61	61	18	6	22	7	364	3	1804	1	7	4	7	1	1	0	0	66
22	0	1	0	0	0	61	60	22	6	11	3	365	3	1924	2	3	18	6	4	1	1	0	22
66	0	0	0	0	0	61	61	12	6	202	7	366	3	1928	1	7	5	3	0	1	0	0	66
11	0	1	0	0	0	61	61	21	6	10	5	367	3	1929	2	5	23	8	4	0	2	0	11
55	0	0	1	1	0	61	61	20	6	121	8	368	3	1930	1	8	9	8	1	1	1	1	55
50	0	0	0	0	0	61	60	21	6	20	3	369	2	1933	2	3	14	8	2	0	2	1	50
77	0	0	0	1	0	61	61	6	6	212	6	370	3	1936	1	6	3	7	0	1	0	1	77
55	0	0	0	1	0	61	61	5	6	112	8	371	3	1946	1	8	8	8	1	1	0	1	55
44	0	0	0	0	0	61	61	2	6	12	3	372	3	1948	1	3	12	3	1	0	0	1	44
100	0	0	0	1	0	61	61	9	6	222	6	373	3	1951	1	6	1	7	0	1	0	1	100
11	0	1	0	0	0	61	61	4	6	1	5	374	3	1954	2	5	21	8	3	0	1	0	11
22	0	1	0	0	0	61	60	24	6	110	3	375	3	1955	1	3	19	3	1	1	2	0	22
16	0	1	0	0	0	61	61	13	6	1	5	376	2	1962	2	5	20	6	4	0	1	1	16
33	0	0	0	0	0	61	61	17	6	20	3	377	3	15015	1	3	15	5	0	0	2	0	33
66	0	0	0	0	0	61	61	14	6	220	7	378	3	110313	1	7	7	5	0	0	2	1	66
33	0	0	0	0	0	61	61	16	6	200	3	379	3	112259	1	3	17	5	0	1	2	0	33
44	0	0	0	0	1	61	61	1	6	102	3	380	3	112260	2	3	13	6	4	1	0	0	44
33	0	0	0	0	0	65	65	5	0	21001	3	381	22	305	0	8	5	5	0	0	1	0	43
73	0	0	0	0	1	65	65	1	0	12212	10	382	21	306	3	10	3	0	2	1	0	0	56
33	0	0	0	0	0	65	65	11	0	11002	3	383	22	422	1	3	8	3	1	0	0	0	40
53	0	0	0	0	0	65	65	4	0	12021	8	384	21	423	1	8	4	10	2	0	1	1	50
33	0	0	0	0	0	65	65	3	0	1021	8	385	21	445	3	3	7	10	3	0	1	0	40
73	0	0	0	0	0	65	65	2	0	21221	0	386	22	563	1	0	1	0	1	1	1	0	66
13	0	0	0	0	0	65	65	12	0	1001	3	387	22	834	0	3	6	5	0	0	1	0	36
20	0	0	0	0	0	65	65	7	10	10110	5	388	21	837	1	5	10	5	1	0	2	0	16
46	0	0	0	0	0	65	65	6	0	11121	3	389	22	838	1	3	9	5	0	0	1	0	36
40	0	0	0	0	0	65	65	9	0	20200	10	390	22	1572	0	10	2	8	0	0	2	0	70
40	0	0	0	0	0	65	65	8	10	220	5	391	22	111132	1	5	11	5	2	0	2	0	26
100	0	0	0	1	0	66	66	11	0	22	10	392	2	301	1	10	3	3	0	1	0	1	100
66	0	0	0	1	0	66	66	8	0	21	8	393	2	420	2	8	4	10	2	1	1	1	66
100	0	0	0	1	0	66	66	4	0	22	10	394	2	873	1	10	2	0	2	1	0	1	100
0	0	1	0	0	0	66	66	2	0	0	5	395	2	874	2	5	15	0	4	1	2	0	0
50	0	0	0	0	0	66	66	6	0	20	3	396	2	1570	2	3	8	8	2	0	2	1	50
100	0	0	0	1	0	66	66	3	0	22	0	397	2	1871	1	0	1	0	1	1	0	1	100
66	0	0	1	1	0	66	66	7	0	21	8	398	2	1873	2	8	6	10	2	1	1	1	66
0	0	1	0	0	0	66	66	14	0	0	5	399	2	110744	1	5	14	5	1	0	2	0	0
66	0	0	1	1	0	66	66	10	0	21	8	400	2	110745	1	8	4	8	1	1	1	1	66
50	0	0	0	0	0	66	66	15	0	20	3	401	2	110746	1	3	7	5	0	0	2	1	50
50	0	0	0	0	0	66	66	9	0	2	3	402	2	110749	2	3	13	8	2	1	0	0	50
0	0	1	0	0	0	66	66	5	0	0	5	403	2	111083	2	5	15	10	4	1	2	0	0
0	0	1	0	0	0	66	66	16	0	0	3	404	2	111086	1	3	12	5	0	0	2	0	0
16	0	1	0	0	0	66	66	12	0	1	3	405	2	111087	2	3	11	3	1	1	1	0	16
50	0	0	0	0	0	66	66	13	0	2	3	406	2	111091	1	3	10	3	1	0	0	1	50
50	0	0	0	0	1	66	66	1	0	2	3	407	2	111092	2	3	9	0	4	1	0	0	50
20	0	0	0	0	0	67	67	4	0	2	5	408	6	312	2	5	16	10	4	0	0	0	16
60	0	0	0	0	0	67	67	3	0	222	10	409	6	315	2	10	4	0	2	0	0	0	66
40	0	0	0	0	0	67	67	12	0	2200	3	410	6	100764	1	3	12	5	0	0	2	0	38
46	0	0	0	0	0	67	67	7	0	20120	8	411	6	100765	2	8	7	10	2	0	2	0	55
53	0	0	0	0	0	67	67	5	0	12012	8	412	6	100766	2	8	6	10	2	1	0	0	61
60	0	0	0	0	0	67	67	2	0	22020	10	413	6	100767	2	10	5	0	2	1	2	0	66
66	0	0	0	0	1	67	67	1	0	22210	0	414	6	100769	1	0	1	0	1	0	2	1	72
60	0	0	0	0	0	67	67	8	0	20202	3	415	6	110089	2	3	8	8	2	1	0	0	50
26	0	0	0	0	0	67	67	15	0	2100	5	416	6	110106	1	5	14	5	1	0	2	0	22
80	0	0	0	0	0	67	67	11	0	20222	10	417	6	110109	1	10	2	8	0	1	0	0	72
80	0	0	0	0	0	67	67	6	0	22202	10	418	6	110227	1	10	3	10	1	1	0	0	66
46	0	0	0	0	0	67	67	16	0	2120	3	419	6	110230	1	3	11	5	0	0	2	0	38
33	0	0	0	0	0	67	67	13	0	10012	5	420	6	110231	2	5	13	3	2	0	0	0	27
53	0	0	0	0	0	67	67	10	0	20121	3	421	6	110234	1	3	10	3	1	1	1	0	44
0	0	0	0	0	0	67	67	14	0	0	5	422	6	112217	2	5	15	3	3	0	2	0	16
33	0	0	0	0	0	67	67	9	0	2011	3	423	6	112218	1	3	9	3	1	1	1	0	44
0	0	0	0	0	1	76	50	1	0	0	0	424	0	86	0	0	7	0	0	0	0	0	0
0	0	0	0	0	0	76	76	1	0	0	0	425	0	278	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	76	76	1	0	0	0	426	0	280	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	76	76	8	0	0	0	427	0	325	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	76	76	1	0	0	0	428	0	393	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	76	76	1	0	0	0	429	0	1876	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	76	76	1	0	0	0	430	0	1877	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	76	76	1	0	0	0	431	0	1884	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	76	76	1	0	0	0	432	0	101085	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	76	76	1	0	0	0	433	0	110929	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	76	76	1	0	0	0	434	0	110930	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	76	76	1	0	0	0	435	0	111072	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	76	76	1	0	0	0	436	0	111205	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	76	76	9	0	0	0	437	0	111596	0	0	2	0	0	0	0	0	0
0	0	0	0	0	0	76	76	2	0	0	0	438	0	112190	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	439	0	974	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	440	0	1318	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	441	0	1322	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	442	0	1325	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	443	0	1327	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	444	0	1330	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	445	0	1331	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	446	0	1334	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	447	0	1335	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	448	0	1337	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	449	0	1338	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	450	0	1343	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	451	0	1352	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	452	0	1353	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	453	0	1354	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	454	0	1355	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	455	0	1356	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	456	0	1357	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	457	0	1359	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	458	0	1361	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	459	0	1362	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	460	0	1363	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	461	0	1364	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	462	0	1365	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	463	0	1369	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	464	0	1370	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	465	0	1375	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	466	0	1377	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	467	0	1386	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	468	0	1387	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	469	0	1395	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	470	0	1415	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	471	0	1886	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	472	0	105035	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	473	0	110081	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	474	0	111099	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	475	0	111108	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	476	0	111109	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	477	0	111112	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	478	0	111130	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	479	0	111451	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	480	0	111459	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	481	0	111465	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	482	0	111466	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	483	0	111473	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	78	78	1	0	0	0	484	0	111487	0	0	1	0	0	0	0	0	0
53	0	0	0	0	1	80	80	1	0	22011	10	485	6	191	2	10	4	0	2	0	1	1	61
60	0	0	0	0	0	80	80	5	0	20202	3	486	6	209	2	3	6	10	3	0	0	0	50
60	0	0	0	0	0	80	80	2	0	20220	10	487	6	254	2	10	2	0	2	0	2	0	66
80	0	0	0	0	0	80	80	4	0	2222	0	488	6	256	1	0	1	0	1	0	0	1	83
40	0	0	0	0	0	80	80	6	0	2200	8	489	6	780	2	8	5	10	2	0	2	0	50
60	0	0	0	0	0	80	80	8	0	2022	10	490	6	1785	1	10	3	3	0	1	0	0	66
20	0	0	0	0	0	80	80	7	0	200	5	491	6	2045	2	5	10	5	2	0	2	0	16
26	0	0	0	0	0	80	80	9	0	21	5	492	6	111373	1	5	9	5	1	0	1	0	22
46	0	0	0	0	0	80	80	3	0	22010	3	493	6	111821	1	3	7	3	1	0	2	0	38
40	0	0	0	0	0	80	80	10	0	20002	3	494	6	111822	1	3	8	5	0	0	0	0	33
33	0	0	0	0	0	83	83	15	0	1210	5	495	30	980	1	5	13	5	1	0	2	0	33
46	0	0	0	0	0	83	83	10	0	221	3	496	30	981	3	3	11	9	3	0	1	0	50
80	0	0	0	0	0	83	83	3	0	22022	0	497	30	982	1	0	1	0	1	0	0	0	73
60	0	0	0	0	0	83	83	4	0	12211	9	498	30	983	2	9	3	0	2	0	1	0	46
53	0	0	0	0	0	83	83	6	0	21021	8	499	30	1473	1	8	4	9	2	0	1	0	60
80	0	0	0	0	0	83	83	2	0	2222	8	500	30	1474	3	8	5	0	3	0	0	0	73
40	0	0	0	0	0	83	83	7	0	202	3	501	30	1475	1	3	12	3	1	0	0	0	23
40	1	0	0	0	0	83	83	5	0	11201	3	502	30	1476	0	3	6	3	1	0	1	0	53
40	0	0	0	0	1	83	83	1	0	21101	9	503	30	1477	2	9	2	0	2	0	1	0	53
20	0	0	0	0	0	83	83	9	0	10101	3	504	30	1478	2	3	7	8	2	0	1	0	33
6	0	0	0	0	0	83	83	14	0	1	5	505	30	2055	1	5	15	5	2	0	1	0	33
46	0	0	0	0	0	83	83	12	0	21020	3	506	30	2056	1	3	10	5	0	0	2	0	30
86	0	0	0	0	0	83	83	13	0	22221	3	507	30	110765	1	3	9	3	1	0	1	0	73
46	0	0	0	0	0	83	83	8	0	1022	3	508	30	111588	2	3	8	8	2	0	0	0	53
6	0	0	0	0	0	83	83	16	0	10000	5	509	30	112115	2	5	16	5	2	0	2	0	16
40	0	0	0	0	0	83	83	11	0	22000	5	510	30	112258	2	5	14	3	2	0	2	0	26
73	0	0	0	0	0	189	189	8	0	11222	10	511	7	322	1	10	3	3	0	0	0	1	66
13	0	1	0	0	0	189	189	4	0	1010	5	512	7	324	2	5	10	8	4	0	2	0	9
46	0	0	0	0	0	189	189	6	0	2012	3	513	7	894	2	3	6	10	3	0	0	0	38
53	0	0	0	0	1	189	189	1	0	11220	10	514	7	896	2	10	4	0	2	1	2	0	57
26	0	0	0	0	0	189	189	2	0	102	3	515	7	897	2	3	8	10	3	0	0	0	28
73	0	0	1	1	0	189	189	10	0	21122	10	516	7	898	1	10	2	5	0	1	0	1	71
53	0	0	0	0	0	189	189	3	0	21201	8	517	7	900	2	8	5	0	3	0	1	0	42
20	0	0	0	0	0	189	189	5	0	2000	3	518	7	1715	1	3	7	3	1	0	2	0	33
26	0	0	0	0	0	189	189	7	0	20001	5	519	7	1862	1	5	9	5	1	0	1	0	23
66	0	0	0	0	0	189	189	9	0	21220	0	520	7	110770	1	0	1	0	1	1	2	0	76
66	0	0	1	1	0	308	308	2	0	12	0	521	2	234	1	0	1	0	1	1	0	1	66
66	0	0	1	1	1	308	308	1	0	12	10	522	2	236	1	10	2	0	2	1	0	1	66
16	0	1	0	0	0	308	308	4	0	10	3	523	2	237	2	3	12	0	4	0	2	1	16
16	0	1	0	0	0	308	308	11	0	10	5	524	2	665	1	5	16	3	3	0	2	1	16
50	0	0	0	0	0	308	308	14	0	2	8	525	2	744	1	8	7	5	0	0	0	1	50
16	0	1	0	0	0	308	308	6	0	10	5	526	2	1887	2	5	15	10	4	1	2	0	16
33	0	1	1	1	0	308	308	9	0	11	3	527	2	1888	2	3	10	8	2	1	1	1	33
16	0	1	0	0	0	308	308	7	0	10	5	528	2	1891	2	5	14	10	4	1	2	0	16
33	0	1	1	1	0	308	308	10	0	11	3	529	2	1892	1	3	9	3	1	1	1	1	33
66	0	0	1	1	0	308	308	5	0	21	8	530	2	1893	1	8	6	10	2	1	1	1	66
66	0	0	1	1	0	308	308	3	0	12	10	531	2	1896	1	10	3	0	2	1	0	1	66
16	0	1	0	0	0	308	308	13	0	10	5	532	2	1897	1	5	13	3	2	1	2	0	16
66	0	0	1	1	0	308	308	16	0	12	10	533	2	1900	1	10	4	5	0	1	0	1	66
33	0	1	0	1	0	308	308	12	0	11	3	534	2	1901	1	3	8	5	0	1	1	1	33
16	0	1	0	0	0	308	308	15	0	1	3	535	2	10020	1	3	11	5	0	1	1	0	16
66	0	0	1	1	0	308	308	8	0	21	10	536	2	111540	1	10	5	8	0	1	1	1	66
73	0	0	0	1	0	341	341	4	16	21122	14	537	6	1028	1	14	3	13	0	1	0	1	66
53	0	0	0	0	0	341	341	2	16	2112	11	538	6	1032	2	11	9	16	4	1	0	0	50
73	0	0	0	1	0	341	341	9	16	21212	14	539	6	1878	2	14	4	16	3	1	0	1	66
53	0	0	0	0	0	341	341	3	16	21120	13	540	6	1879	2	13	6	16	4	0	2	1	50
33	0	0	0	0	0	341	341	15	16	1120	11	541	6	1880	2	11	14	14	3	0	2	0	27
40	0	0	0	0	0	341	341	14	16	20020	11	542	6	1881	2	11	12	14	3	0	2	0	38
86	0	0	0	1	0	341	341	11	16	22221	16	543	6	1882	1	16	1	15	0	1	1	1	88
40	0	0	0	0	0	341	341	5	16	21101	13	544	6	1970	2	13	7	16	4	1	1	0	50
40	0	0	0	0	0	341	341	10	16	21110	11	545	6	101114	1	11	11	11	1	1	2	0	38
53	0	0	0	0	0	341	341	13	16	1212	13	546	6	101116	1	13	8	11	0	1	0	0	50
33	0	0	0	0	1	341	341	1	16	21001	11	547	6	110144	2	11	10	15	4	0	1	0	44
33	0	0	0	0	0	341	341	6	16	2101	11	548	6	110147	2	11	13	15	4	0	1	0	33
13	0	1	0	0	0	341	341	16	16	1100	5	549	6	110149	2	5	17	11	2	0	2	0	11
6	0	1	0	0	0	341	341	17	16	100	5	550	6	110150	2	5	18	11	2	0	2	0	5
26	0	0	0	0	0	341	341	8	16	12	5	551	6	110151	2	5	15	13	3	0	0	0	22
26	0	0	0	0	0	341	341	12	16	1002	5	552	6	110152	2	5	16	11	2	0	0	0	22
46	0	0	0	0	0	341	341	18	16	20210	13	553	6	110781	1	13	5	11	0	0	2	0	55
66	0	0	0	0	0	341	341	7	16	2122	15	554	6	111678	1	15	2	13	0	1	0	0	72
41	0	0	0	0	0	350	350	3	0	1021	3	555	4	605	2	3	6	0	4	0	1	1	41
66	0	0	1	1	0	350	350	5	0	1221	9	556	4	607	1	9	3	9	1	1	1	1	66
83	0	0	1	1	1	350	350	1	0	2212	0	557	4	111674	1	0	1	0	1	1	0	1	83
41	0	0	0	0	0	350	350	4	0	1021	3	558	4	112096	2	3	8	9	3	1	1	0	41
58	0	0	0	0	0	350	350	7	0	1202	8	559	4	112139	2	8	4	9	2	0	0	1	58
55	0	0	1	1	0	350	350	2	0	211	3	560	3	112387	2	3	7	0	4	1	1	1	55
8	0	1	0	0	0	350	350	8	0	1	5	561	4	112389	2	5	13	8	4	0	1	0	8
